driver_id,miles_driven,vehicle_type,driver_safety_score,date_latest_delivery,date_first_delivery,date_of_birth,date_of_loss,claim_closed_ind,incurred_loss_bodily_injury,incurred_legal_expenses
1,"40,728",sedan,4.30,6/22/2024,10/22/2021,11/22/1979,,,,
2,"12,429",electric vehicle,1.03,10/20/2022,9/20/2021,1/1/2099,10/20/2022 9:22:00,1,"$80,510.00","$12,679.00"
3,"1,216",bicycle,1.75,6/15/2024,2/15/2024,1/1/2099,,,,
4,"8,848",truck,4.17,6/13/2024,7/13/2023,12/13/1982,,,,
5,"37,369",electric vehicle,5.00,3/31/2024,1/31/2021,7/31/1944,,,,
6,"31,569",sedan,5.00,6/27/2024,9/27/2021,10/27/1969,,,,
7,192,truck,0.29,2/19/2024,1/19/2024,,2/19/2024 1:00:00,0,"$25,000.00","$4,693.41"
8,"31,098",motorcycle,4.88,12/13/2022,8/13/2020,11/13/1972,,,,
9,"10,818",sedan,5.00,7/12/2023,5/12/2022,5/12/1958,,,,
10,"9,671",truck,1.13,4/15/2022,9/15/2020,1/1/2099,4/15/2022 5:11:00,1,"$12,023.00",$154.60
11,"1,633",bicycle,4.00,12/6/2023,5/6/2023,7/6/1984,,,,
12,"32,954",sedan,5.00,5/23/2024,7/23/2020,11/23/1957,,,,
13,"2,408",truck,3.36,7/1/2024,12/1/2022,1/1/1990,,,,
14,"37,026",sedan,4.88,7/25/2023,3/25/2020,6/25/1972,,,,
15,"1,889",sedan,2.39,10/29/2023,7/29/2023,3/29/1998,,,,
16,"1,638",motorcycle,2.13,4/1/2024,10/1/2023,12/1/1999,,,,
17,"5,628",motorcycle,4.08,4/22/2023,7/22/2022,10/22/1982,,,,
18,"18,144",sedan,3.63,1/1/2024,6/1/2022,2/1/1987,,,,
19,"28,123",bicycle,3.90,7/1/2024,5/1/2022,7/1/1984,,,,
20,"32,065",bicycle,5.00,7/1/2024,8/1/2021,9/1/1970,,,,
21,"44,461",bicycle,2.95,6/22/2023,9/22/2019,4/22/1990,6/22/2023 2:05:00,0,"$9,469.00",$304.19
22,"26,169",motorcycle,5.00,6/5/2024,10/5/2020,5/5/1957,,,,
23,"21,130",bicycle,3.19,7/1/2024,5/1/2022,12/1/1990,,,,
24,"34,269",motorcycle,2.29,3/20/2024,9/20/2021,12/20/1996,3/19/2024 19:48:00,0,"$20,540.00","$2,021.14"
25,"4,916",truck,3.93,5/23/2024,12/23/2023,9/23/1985,,,,
26,"7,847",sedan,4.47,7/1/2024,8/1/2023,1/1/1980,,,,
27,"9,700",sedan,5.00,6/30/2024,12/30/2022,6/30/1953,,,,
28,"30,569",sedan,5.00,4/11/2024,12/11/2021,1/11/1955,,,,
29,"6,820",electric vehicle,3.17,6/30/2024,12/30/2022,9/30/1991,,,,
30,"2,826",truck,5.00,3/21/2024,4/21/2023,9/21/1960,,,,
31,"6,153",bicycle,5.00,6/30/2024,2/29/2024,3/29/1951,,,,
32,"30,735",bicycle,5.00,7/27/2023,9/27/2019,10/27/1968,,,,
33,"8,391",motorcycle,4.88,3/21/2023,8/21/2021,11/21/1973,,,,
34,"4,832",sedan,3.07,6/24/2024,12/24/2022,7/24/1992,,,,
35,"21,008",electric vehicle,4.45,7/1/2024,8/1/2022,4/1/1979,,,,
36,"27,260",bicycle,5.00,6/23/2024,10/23/2022,8/23/1950,,,,
37,"18,090",bicycle,2.97,5/22/2022,1/22/2021,6/22/1991,5/22/2022 9:23:00,1,"$12,747.00",$316.96
38,"1,253",electric vehicle,5.00,3/30/2024,2/29/2024,9/29/1947,,,,
39,"30,450",motorcycle,5.00,6/29/2024,9/29/2021,4/29/1944,,,,
40,"3,039",sedan,1.49,9/21/2023,8/21/2022,1/1/2099,,,,
41,"13,783",electric vehicle,4.86,1/16/2023,3/16/2021,8/16/1973,,,,
42,"19,350",electric vehicle,5.00,6/30/2024,5/30/2022,9/30/1963,,,,
43,"8,632",truck,5.00,6/30/2024,11/30/2023,6/30/1967,,,,
44,"2,056",sedan,4.99,6/24/2024,4/24/2024,6/24/1975,,,,
45,"18,290",truck,4.92,7/1/2024,6/1/2021,4/1/1973,,,,
46,"5,515",motorcycle,5.00,6/30/2024,3/30/2023,4/30/1954,,,,
47,"34,134",motorcycle,5.00,3/17/2023,6/17/2019,7/17/1965,,,,
48,"22,514",sedan,2.02,8/2/2022,3/2/2019,1/2/1996,8/1/2022 19:47:00,1,"$12,048.00",$561.94
49,"10,066",bicycle,2.85,7/1/2024,5/1/2023,10/1/1994,,,,
50,"1,003",sedan,4.37,6/24/2024,4/24/2024,9/24/1981,,,,
51,"31,255",sedan,4.29,6/3/2023,6/3/2020,9/3/1978,,,,
52,277,motorcycle,3.80,6/5/2024,9/5/2023,10/5/1986,,,,
53,"1,365",bicycle,4.73,6/29/2024,4/29/2024,1/29/1978,,,,
54,"28,212",sedan,5.00,6/27/2024,6/27/2020,5/27/1957,,,,
55,"47,814",sedan,5.00,5/10/2024,12/10/2021,5/10/1964,,,,
56,"1,171",sedan,5.00,6/8/2024,2/8/2024,1/8/1975,,,,
57,"53,096",sedan,5.00,2/13/2024,9/13/2021,6/13/1950,,,,
58,"5,296",bicycle,1.94,7/1/2024,10/1/2023,1/1/2099,,,,
59,"31,481",truck,5.00,10/3/2023,12/3/2019,3/3/1968,,,,
60,"11,411",sedan,5.00,4/12/2024,6/12/2021,4/12/1966,,,,
61,"2,566",truck,2.46,5/3/2023,2/3/2021,4/3/1995,,,,
62,"13,688",motorcycle,1.35,4/22/2023,1/22/2021,1/1/2099,4/22/2023 3:07:00,1,"$43,536.00","$6,378.38"
63,"22,794",bicycle,4.96,5/27/2024,6/27/2021,12/27/1972,,,,
64,"50,082",sedan,5.00,11/3/2022,8/3/2019,2/3/1966,,,,
65,"1,107",sedan,3.98,6/19/2023,2/19/2023,6/19/1984,,,,
66,"1,611",truck,1.45,11/9/2023,9/9/2023,1/1/2099,,,,
67,"10,678",electric vehicle,4.73,6/30/2024,5/30/2022,2/29/1976,,,,
68,"24,625",truck,5.00,1/24/2024,2/24/2020,12/24/1943,,,,
69,"9,424",motorcycle,4.87,2/9/2023,7/9/2020,11/9/1972,,,,
70,"1,256",sedan,0.46,1/18/2022,10/18/2021,1/1/2099,1/17/2022 19:46:00,1,"$13,035.00",$499.90
71,"40,558",sedan,1.47,4/5/2022,8/5/2019,12/5/1998,4/5/2022 4:10:00,1,"$13,396.00",$265.10
72,"7,375",bicycle,5.00,7/1/2024,4/1/2022,7/1/1945,,,,
73,"1,684",sedan,3.73,5/26/2023,10/26/2022,7/26/1986,,,,
74,"11,209",motorcycle,4.67,7/1/2024,9/1/2023,2/1/1978,,,,
75,"17,741",truck,2.16,6/16/2024,6/16/2020,6/16/1996,6/16/2024 9:22:00,0,"$5,646.00",$224.10
76,"4,186",sedan,5.00,5/7/2024,11/7/2020,2/7/1965,,,,
77,"20,352",electric vehicle,2.13,2/7/2022,3/7/2018,5/7/1994,2/6/2022 23:57:00,1,"$17,337.00",$543.84
78,"5,925",electric vehicle,5.00,11/15/2022,3/15/2019,,,,,
79,"10,242",sedan,0.73,7/19/2022,11/19/2021,1/1/2099,7/18/2022 12:29:00,1,"$11,783.00",$260.43
80,"5,714",motorcycle,2.36,8/7/2023,10/7/2019,7/7/1994,,,,
81,"15,850",motorcycle,1.12,6/22/2024,10/22/2023,1/1/2099,6/22/2024 8:19:00,0,"$6,169.00",$133.46
82,"26,836",bicycle,2.93,6/13/2022,1/13/2020,10/13/1990,6/13/2022 4:10:00,1,"$12,053.00",$99.07
83,"1,629",,0.65,12/7/2021,6/7/2021,1/1/2099,12/7/2021 5:12:00,1,"$13,084.00",$447.22
84,"27,052",motorcycle,5.00,3/8/2024,5/8/2022,5/8/1966,,,,
85,"23,923",electric vehicle,5.00,1/25/2023,10/25/2019,8/25/1956,,,,
86,"7,325",sedan,5.00,10/25/2022,6/25/2021,2/25/1964,,,,
87,"15,168",sedan,2.49,5/29/2022,11/29/2020,11/29/1994,5/28/2022 23:57:00,1,"$76,201.00","$11,540.74"
88,"1,413",sedan,1.08,10/12/2023,6/12/2023,1/1/2099,,,,
89,"4,757",sedan,2.60,10/2/2023,6/2/2022,8/2/1995,,,,
90,"51,863",sedan,3.29,9/9/2023,7/9/2020,4/9/1988,9/8/2023 23:57:00,0,"$9,507.00",$161.42
91,"17,164",sedan,5.00,7/3/2022,4/3/2019,2/3/1968,,,,
92,"33,167",sedan,5.00,10/29/2023,12/29/2019,5/29/1966,,,,
93,262,truck,3.01,5/4/2024,12/4/2023,1/4/1994,,,,
94,"27,706",bicycle,1.84,1/2/2024,6/2/2021,3/2/1999,1/2/2024 10:25:00,0,"$5,013.00",$128.15
95,"10,307",sedan,5.00,7/1/2024,11/1/2023,7/1/1967,,,,
96,"12,021",truck,5.00,7/1/2024,9/1/2023,3/1/1969,,,,
